DEBUG | 2023-01-06 23:26:47,738 | threading.py | Called function receive_message with params ((<__main__.Client object at 0x0000029850F7BDC0>, <socket.socket fd=464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51627), raddr=('127.0.0.1', 7777)>, 'test1'), {}). From module __main__. From function self._bootstrap_inner(). 
DEBUG | 2023-01-06 23:26:48,241 | client.py | Called function main with params ((<__main__.Client object at 0x000002414A2FBDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:26:48,744 | client.py | Called function main with params ((<__main__.Client object at 0x0000029850F7BDC0>,), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:27:24,855 | client.py | Client created, Account: test1
DEBUG | 2023-01-06 23:27:24,856 | client.py | Presence created test1
DEBUG | 2023-01-06 23:27:24,857 | client.py | Called function create_presence with params ((<__main__.Client object at 0x000001CB1C7CBDC0>,), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:27:24,863 | client.py | Client created, Account: test3
DEBUG | 2023-01-06 23:27:24,864 | client.py | Presence created test3
DEBUG | 2023-01-06 23:27:24,865 | client.py | Called function create_presence with params ((<__main__.Client object at 0x000001C9960EBDC0>,), {}). From module __main__. From function client.main(). 
DEBUG | 2023-01-06 23:27:24,868 | client.py | Called function answer_handler with params ((<__main__.Client object at 0x000001CB1C7CBDC0>, {'response': 400, 'error': 'BAD REQUEST'}), {}). From module __main__. From function client.main(). 
INFO | 2023-01-06 23:27:24,869 | client.py | Connected. Server answer: 400 : BAD REQUEST
INFO | 2023-01-06 23:27:24,876 | client.py | Client created, Account: test2
DEBUG | 2023-01-06 23:27:24,877 | client.py | Presence created test2
DEBUG | 2023-01-06 23:27:24,879 | client.py | Called function create_presence with params ((<__main__.Client object at 0x00000232CEEABDC0>,), {}). From module __main__. From function client.main(). 
